"BACT_628","Helicobacter hepaticus ATCC 51449"
"BACT_910","Propionibacterium sp. oral taxon 191 str. F0233 "
"BACT_263","Buchnera aphidicola str. Sg"
"BACT_506","Endoriftia persephone"
"BACT_731","Marine gamma proteobacterium HTCC2080"
"BACT_1425","marine gamma proteobacterium HTCC2207"
"BACT_730","Marine actinobacterium PHSC20C1"
"BACT_1556","Borrelia afzelii PKo clone"
"BACT_327","Capnocytophaga sputigena ATCC 33612 strain Capno "
"BACT_583","Gamma proteobacterium NOR51-B "
"BACT_455","Cytophaga hutchinsonii ATCC "
"BACT_1319","Bacteroides sp. D4"
"BACT_697","Leptospira biflexa serovar Patoc strain "
"BACT_1","Nostoc azollae"
"BACT_323","Candidatus Sulcia muelleri str. Hc  "
"BACT_321","Candidatus Ruthia magnifica str. Cm"
"BACT_1024","Ruminococcus sp. 5_1_39BFAA"
"BACT_1034","Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67"
"BACT_1036","Salmonella enterica subsp. enterica serovar Enteritidis str. P125109"
"BACT_1039","Salmonella enterica subsp. enterica serovar Javiana str. GA_MM04042433 "
"BACT_1040","Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150"
"BACT_1043","Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 "
"BACT_1045","Salmonella enterica subsp. enterica serovar Weltevreden str. HI_N05-537 "
"BACT_1159","Synechococcus sp. RS9917"
"BACT_1210","unidentified eubacterium SCB49 "
"BACT_1252","Wolbachia endosymbiont of Drosophila willistoni TSC"
"BACT_1285","Salmonella enterica subsp. enterica serovar 4"
"BACT_1310","Bacterium S5 strain S5"
"BACT_1330","Campylobacter jejuni subsp. Jejuni 1336"
"BACT_1331","Campylobacter jejuni subsp. Jejuni 414"
"BACT_1344","delta proteobacterium NaphS2"
"BACT_1348","Enterococcus faecalis AR01/DG"
"BACT_1465","Pseudomonas aeruginosa Pab1"
"BACT_170","Bacterium Ellin514 strain Ellin514"
"BACT_207","Bermanella marisrubri strain RED65"
"BACT_208","beta proteobacterium KB13"
"BACT_223","Blattabacterium sp. "
"BACT_249","Brucella abortus bv. 1 str. 9-941 chromosome"
"BACT_250","Brucella abortus bv. 3 str."
"BACT_260","Buchnera aphidicola str. Bp "
"BACT_261","Buchnera aphidicola str. Cc "
"BACT_262","Buchnera aphidicola str. LSR1"
"BACT_301","candidate division TM7 single-cell isolate TM7a "
"BACT_303","candidate division TM7 single-cell isolate TM7c "
"BACT_317","Candidatus Pelagibacter sp. HTCC7211 1105874033148"
"BACT_318","Candidatus Phytoplasma australiense :"
"BACT_366","Citrobacter sp. "
"BACT_447","Cyanothece sp. ATCC 51142 chromosome circular"
"BACT_448","Cyanothece sp. ATCC 51142 chromosome linear"
"BACT_463","delta proteobacterium MLMS-1"
"BACT_47","Agrobacterium tumefaciens str. C58 chromosome circular"
"BACT_48","Agrobacterium tumefaciens str. C58 chromosome linear"
"BACT_557","Francisella novicida FTE"
"BACT_580","Gamma proteobacterium HTCC2207 "
"BACT_59","Alpha proteobacterium HIMB114"
"BACT_698","Leptospira borgpetersenii serovar Hardjo-bovis L550"
"BACT_732","Marine gamma proteobacterium HTCC2143 "
"BACT_733","Marine gamma proteobacterium HTCC2148 "
"BACT_770","Moorella thermoacetica ATCC"
"BACT_772","Mycobacterium abscessus "
"BACT_789","Mycoplasma conjunctivae"
"BACT_790","Mycoplasma gallisepticum str. R"
"BACT_813","Neptuniibacter caesariensis strain MED92 "
"BACT_888","Polynucleobacter necessarius subsp. asymbioticus  "
"BACT_948","Ralstonia eutropha H16"
"BACT_997","Rickettsia sibirica 246"
"BACT_1088","Spirosoma linguale DSM 74 "
"BACT_1089","Stackebrandtia nassauensis DSM 44728 "
"BACT_1082","Sphaerobacter thermophilus DSM 20745"
"BACT_868","Pelodictyon luteolum DSM 273"
"BACT_2222","Deinococcus radiodurans R1"
"BACT_3001","Acinetobacter radioresistens SH164"
"BACT_3004","Bacteroides fragilis 3_1_12"
"BACT_3005","Bacteroides sp. 2_2_4"
"BACT_3006","Bacteroides sp. 9_1_42FAA"
"BACT_3007","Bacteroides sp. D1"
"BACT_3008","Bacteroides uniformis ATCC 8492"
"BACT_3010","Bacteroidetes sp. F0058"
"BACT_3011","Bifidobacterium adolescentis L2-32"
"BACT_3012","Bifidobacterium dentium ATCC 27679"
"BACT_3013","Bifidobacterium dentium JCVIHMP022"
"BACT_3014","Bifidobacterium longum infantis ATCC 55813"
"BACT_3015","Burkholderiales bacterium 1_1_47"
"BACT_3016","Campylobacter coli JV20"
"BACT_3017","Clostridiales genomosp. BVAB3 UPII9-5"
"BACT_3018","Corynebacterium accolens ATCC 49726"
"BACT_3020","Corynebacterium efficiens YS-314"
"BACT_3021","Corynebacterium glucuronalyticum ATCC 51867"
"BACT_3022","Corynebacterium jeikeium ATCC 43734"
"BACT_3024","Desulfovibrio sp. 3_1_syn3"
"BACT_3026","Enterococcus faecalis TX 0109"
"BACT_3027","Enterococcus faecalis TX 0411"
"BACT_3028","Enterococcus faecalis TX 0855"
"BACT_3029","Enterococcus faecalis TX 0860"
"BACT_3030","Enterococcus faecalis TX 2134"
"BACT_3031","Enterococcus faecalis TX 4248"
"BACT_3032","Enterococcus faecalis TX1322"
"BACT_3033","Escherichia coli O150:H5 SE15"
"BACT_3034","Escherichia sp. 1_1_43"
"BACT_3035","Eubacterium yurii margaretiae ATCC 43715"
"BACT_3036","Finegoldia magna ATCC 29328"
"BACT_3037","Finegoldia magna ATCC 53516"
"BACT_3041","Lactobacillus acidophilus ATCC 4796"
"BACT_3042","Lactobacillus brevis gravesensis ATCC 27305"
"BACT_3043","Lactobacillus crispatus 125-2-CHN"
"BACT_3045","Lactobacillus crispatus JV-V01"
"BACT_3046","Lactobacillus crispatus MV-1A-US"
"BACT_3048","Lactobacillus fermentum ATCC 14931"
"BACT_3049","Lactobacillus helveticus DSM 20075"
"BACT_3055","Lactobacillus jensenii 115-3-CHN"
"BACT_3056","Lactobacillus jensenii JV-V16"
"BACT_3057","Lactobacillus johnsonii ATCC 33200"
"BACT_3058","Lactobacillus paracasei ATCC 25302"
"BACT_3059","Lactobacillus plantarum ATCC 14917"
"BACT_3060","Lactobacillus reuteri CF48-3A"
"BACT_3061","Lactobacillus reuteri MM2-3"
"BACT_3062","Lactobacillus reuteri MM4-1A"
"BACT_3063","Lactobacillus reuteri SD2112 ATCC 55730"
"BACT_3064","Lactobacillus rhamnosus GG ATCC 53103"
"BACT_3065","Lactobacillus salivarius ATCC 11741"
"BACT_3066","Leuconostoc mesenteroides cremoris ATCC 19254"
"BACT_3068","Mobiluncus curtisii curtisii ATCC 35241"
"BACT_3069","Mobiluncus mulieris ATCC 35239"
"BACT_3072","Neisseria meningitidis ATCC 13091"
"BACT_3073","Paenibacillus sp. D14"
"BACT_3074","Pediococcus acidilactici 7_4"
"BACT_3075","Pediococcus acidilactici DSM 20284"
"BACT_3076","Peptoniphilus duerdenii ATCC BAA-1640"
"BACT_3080","Prevotella marshii DSM 16973"
"BACT_3081","Propionibacterium acnes SK137"
"BACT_3082","Proteus mirabilis ATCC 29906"
"BACT_3085","Selenomonas sp. 67H29BP F0410"
"BACT_3086","Sphingobacterium spiritivorum ATCC 33861"
"BACT_3087","Staphylococcus aureus aureus ATCC BAA-39"
"BACT_3088","Staphylococcus aureus aureus MN8"
"BACT_3089","Staphylococcus aureus aureus TCH130/ST-72"
"BACT_3090","Staphylococcus aureus aureus TCH60"
"BACT_3091","Staphylococcus aureus aureus TCH70"
"BACT_3092","Staphylococcus aureus aureus USA300_TCH959"
"BACT_3093","Staphylococcus epidermidis BCM-HMP0060"
"BACT_3094","Staphylococcus epidermidis M23864:W1"
"BACT_3095","Staphylococcus epidermidis W23144"
"BACT_3096","Streptococcus bovis ATCC 700338"
"BACT_3097","Streptococcus gallolyticus TX20005"
"BACT_3098","Streptococcus mitis ATCC 6249"
"BACT_3099","Streptococcus pyogenes ATCC 10782"
"BACT_3100","Streptococcus sp. 73H25AP F0408"
"BACT_4001","Helicobacter pylori 51"
"BACT_4002","Methanosphaera stadtmanae DSM 3091"
"BACT_4003","Vibrio cholerae O395"
"BACT_4004","Streptococcus pneumoniae AP200"
"BACT_4005","Vibrio cholerae O395"
"BACT_4006","Clostridium difficile CD196"
"BACT_4007","Helicobacter pylori 52"
"BACT_4008","Mycobacterium tuberculosis KZN 4207"
"BACT_4009","Trypanosoma brucei gambiense DAL972"
"BACT_4010","Clostridium difficile M68"
"BACT_4011","Clostridium difficile BI1"
"BACT_4012","Clostridium difficile BI9"
"BACT_4013","Chlamydia trachomatis E/11023"
"BACT_4014","Chlamydia trachomatis E/150"
"BACT_4015","Chlamydia trachomatis G/9768"
"BACT_4016","Chlamydia trachomatis G/11222"
"BACT_4017","Chlamydia trachomatis G/11074"
"BACT_4018","Lactobacillus fermentum CECT 5716"
"BACT_4019","Lactobacillus salivarius CECT 5713"
"BACT_4020","Mycobacterium tuberculosis SUMu001"
"BACT_4021","Chlamydia trachomatis G/9301"
"BACT_4022","Edwardsiella tarda FL6-60"
"BACT_4023","Mycoplasma pneumoniae FH"
"BACT_4024","Chlamydia trachomatis D-EC"
"BACT_4025","Chlamydia trachomatis D-LC"
"BACT_4026","Neisseria meningitidis K1207"
"BACT_4027","Neisseria meningitidis S0108"
"BACT_4028","Mycoplasma pneumoniae FH"
"BACT_4029","Bacteroides fragilis 638R"
"BACT_4030","Helicobacter pylori v225d"
"BACT_4031","Providencia alcalifaciens Ban1 integrating conjugative element ICEPalban1"
"BACT_4032","Clostridium difficile complete genome strain CF5"
"BACT_4033","Shigella flexneri 2002017"
"BACT_4034","Clostridium difficile complete genome strain M120"
"BACT_4035","Escherichia coli O26:H11 str. 11368"
"BACT_4036","Gordonia bronchialis DSM 43247"
"BACT_4037","Photorhabdus asymbiotica subsp. asymbiotica ATCC 43949"
"BACT_4038","Listeria grayi DSM20601"
"BACT_4039","Helicobacter canadensis MIT 98-5491"
"BACT_4040","Escherichia coli IHE3034"
"BACT_4041","Neisseria meningitidis 8013"
"BACT_4042","Bifidobacterium animalis subsp. lactis V9"
"BACT_4043","Haemophilus influenzae 22.4-21"
"BACT_4044","Clostridium difficile ATCC 43255"
"BACT_4045","Escherichia coli 042"
"BACT_4046","Borrelia burgdorferi 297"
"BACT_4047","Clostridium difficile R20291"
"BACT_5001","Megasphaera micronuciformis"
"BACT_5002","Selenomonas artemidis"
"BACT_5003","Solobacterium moorei"
"BACT_5004","Treponema phagedenis (biotype Kazan 5)"
"BACT_5005","Actinomyces sp. oral taxon 171"
"ARCH_1","Acidianus ambivalens Lei 10 plasmid pDL10"
"ARCH_2","Acidianus hospitalis plasmid pAH1"
"ARCH_3","Acidilobus saccharovorans 345-15"
"ARCH_4","Aciduliprofundum boonei T469"
"ARCH_5","Aeropyrum pernix K1"
"ARCH_6","Archaeoglobus fulgidus DSM 4304"
"ARCH_7","Archaeoglobus profundus DSM 5631"
"ARCH_8","Archaeoglobus profundus plasmid pGS5"
"ARCH_9","Caldivirga maquilingensis IC-167"
"ARCH_10","Candidatus Korarchaeum cryptofilum OPF8"
"ARCH_11","Candidatus Methanoregula boonei 6A8"
"ARCH_12","Candidatus Methanosphaerula palustris E1-9c"
"ARCH_13","Cenarchaeum symbiosum A"
"ARCH_14","Cenarchaeum symbiosum B"
"ARCH_15","Desulfurococcus kamchatkensis 1221n"
"ARCH_16","Ferroglobus placidus DSM 10642"
"ARCH_17","Halalkalicoccus jeotgali B3"
"ARCH_18","Haloarchaeal coccus LOC-1 GN101 plasmid pHGN1"
"ARCH_19","Haloarcula marismortui ATCC 43049"
"ARCH_20","Haloarcula sp. AS7094 plasmid pSCM201"
"ARCH_21","Halobacterium salinarum"
"ARCH_22","Halobacterium salinarum R1"
"ARCH_23","Halobacterium sp. NRC-1"
"ARCH_24","Haloferax volcanii DS2"
"ARCH_25","Halomicrobium mukohataei DSM 12286"
"ARCH_26","Haloquadratum walsbyi DSM 16790"
"ARCH_27","Halorhabdus utahensis DSM 12940"
"ARCH_28","Halorubrum lacusprofundi ATCC 49239"
"ARCH_29","Halorubrum saccharovorum plasmid pZMX101"
"ARCH_30","Haloterrigena thermotolerans plasmid pSN"
"ARCH_31","Haloterrigena turkmenica DSM 5511"
"ARCH_32","Hyperthermus butylicus DSM 5456"
"ARCH_33","Ignicoccus hospitalis KIN4/I"
"ARCH_34","Ignisphaera aggregans DSM 17230"
"ARCH_35","Metallosphaera sedula DSM 5348"
"ARCH_36","Methanobrevibacter ruminantium M1"
"ARCH_37","Methanobrevibacter smithii ATCC 35061"
"ARCH_38","Methanocaldococcus fervens AG86"
"ARCH_39","Methanocaldococcus infernus ME c"
"ARCH_40","Methanocaldococcus jannaschii DSM 2661"
"ARCH_41","Methanocaldococcus sp. FS406-22"
"ARCH_43","Methanocaldococcus vulcanius M7"
"ARCH_44","Methanocella paludicola SANAE"
"ARCH_45","Methanococcoides burtonii DSM 6242"
"ARCH_46","Methanococcus aeolicus Nankai-3"
"ARCH_47","Methanococcus maripaludis C5"
"ARCH_48","Methanococcus maripaludis C6"
"ARCH_49","Methanococcus maripaludis C7"
"ARCH_50","Methanococcus maripaludis S2"
"ARCH_51","Methanococcus vannielii SB"
"ARCH_52","Methanococcus voltae A3"
"ARCH_53","Methanocorpusculum labreanum Z"
"ARCH_54","Methanoculleus marisnigri JR1"
"ARCH_55","Methanohalobium evestigatum Z-7303"
"ARCH_56","Methanohalophilus mahii DSM 5219"
"ARCH_57","Methanohalophilus mahii plasmid pML"
"ARCH_58","Methanoplanus petrolearius DSM 11571"
"ARCH_59","Methanopyrus kandleri AV19"
"ARCH_60","Methanosaeta thermophila PT"
"ARCH_61","Methanosarcina acetivorans C2A"
"ARCH_62","Methanosarcina barkeri str. fusaro"
"ARCH_63","Methanosarcina mazei Go1"
"ARCH_64","Methanosphaera stadtmanae DSM 3091"
"ARCH_65","Methanospirillum hungatei JF-1"
"ARCH_66","Methanothermobacter marburgensis str. Marburg"
"ARCH_67","Methanothermobacter thermautotrophicus Marburg plasmid pME2001"
"ARCH_68","Methanothermobacter thermautotrophicus plasmid pME2200"
"ARCH_69","Methanothermobacter thermautotrophicus str. Delta H"
"ARCH_70","Methanothermobacter thermautotrophicus THF plasmid pFV1"
"ARCH_71","Methanothermobacter thermautotrophicus Z-245 plasmid pFZ1"
"ARCH_72","Nanoarchaeum equitans Kin4-M"
"ARCH_73","Natrialba magadii ATCC 43099"
"ARCH_74","Natrinema sp. CX2021 plasmid pZMX201"
"ARCH_75","Natronobacterium sp. AS-7091 plasmid pNB101"
"ARCH_76","Natronomonas pharaonis DSM 2160"
"ARCH_77","Nitrosopumilus maritimus SCM1"
"ARCH_78","Picrophilus torridus DSM 9790"
"ARCH_79","Pyrobaculum aerophilum str. IM2"
"ARCH_80","Pyrobaculum arsenaticum DSM 13514"
"ARCH_81","Pyrobaculum calidifontis JCM 11548"
"ARCH_82","Pyrobaculum islandicum DSM 4184"
"ARCH_83","Pyrococcus abyssi GE5"
"ARCH_84","Pyrococcus furiosus DSM 3638"
"ARCH_85","Pyrococcus horikoshii OT3"
"ARCH_86","Pyrococcus sp. 12/1 plasmid pP12-1"
"ARCH_87","Pyrococcus sp. JT1 plasmid pRT1"
"ARCH_88","Staphylothermus hellenicus DSM 12710"
"ARCH_89","Staphylothermus marinus F1"
"ARCH_90","Sulfolobus acidocaldarius DSM 639"
"ARCH_91","Sulfolobus islandicus HEN7H2 plasmid pHEN7"
"ARCH_92","Sulfolobus islandicus L.D.8.5"
"ARCH_93","Sulfolobus islandicus L.S.2.15"
"ARCH_94","Sulfolobus islandicus M.14.25"
"ARCH_95","Sulfolobus islandicus M.16.27"
"ARCH_96","Sulfolobus islandicus M.16.4"
"ARCH_97","Sulfolobus islandicus plasmid pARN3"
"ARCH_98","Sulfolobus islandicus plasmid pARN4"
"ARCH_99","Sulfolobus islandicus plasmid pHVE14"
"ARCH_100","Sulfolobus islandicus plasmid pING1"
"ARCH_101","Sulfolobus islandicus plasmid pKEF9"
"ARCH_102","Sulfolobus islandicus plasmid pSOG1"
"ARCH_103","Sulfolobus islandicus plasmid pSOG2"
"ARCH_104","Sulfolobus islandicus plasmid pSSVx"
"ARCH_105","Sulfolobus islandicus plasmid pXZ1"
"ARCH_106","Sulfolobus islandicus REN1H1 plasmid pRN1"
"ARCH_107","Sulfolobus islandicus REN1H1 plasmid pRN2"
"ARCH_108","Sulfolobus islandicus Y.G.57.14"
"ARCH_109","Sulfolobus islandicus Y.N.15.51"
"ARCH_110","Sulfolobus islandicus Y.N.15.51 plasmid pYN01"
"ARCH_111","Sulfolobus neozealandicus plasmid pORA1"
"ARCH_112","Sulfolobus solfataricus IT3 plasmid pIT3"
"ARCH_113","Sulfolobus solfataricus P2"
"ARCH_114","Sulfolobus sp. NOB8H2 plasmid pNOB8"
"ARCH_115","Sulfolobus tengchongensis plasmid pTC"
"ARCH_116","Sulfolobus tokodaii str. 7"
"ARCH_117","Thermococcus gammatolerans EJ3"
"ARCH_118","Thermococcus kodakarensis KOD1"
"ARCH_119","Thermococcus nautilus 30-1 plasmid pTN1"
"ARCH_120","Thermococcus nautilus plasmid pTN2"
"ARCH_121","Thermococcus onnurineus NA1"
"ARCH_122","Thermococcus sibiricus MM 739"
"ARCH_123","Thermococcus sp. 26/2 plasmid pT26-2"
"ARCH_124","Thermococcus sp. AMT11 plasmid pAMT11"
"ARCH_125","Thermofilum pendens Hrk 5"
"ARCH_126","Thermoplasma acidophilum DSM 1728"
"ARCH_127","Thermoplasma acidophilum plasmid pTA1"
"ARCH_128","Thermoplasma volcanium GSS1"
"ARCH_129","Thermoproteus neutrophilus V24Sta"
"ARCH_130","Thermosphaera aggregans DSM 11486"
"ARCH_131","Uncultured methanogenic archaeon RC-I"
"ARCH_136","Sulfolobus islandicus Y.G.57.14"
"EUKY_261","Porphyra pulchra"
"EUKY_250","Desmarestia viridis"
"EUKY_291","Colpophyllia natans"
"EUKY_37","Aureoumbra lagunensis"
"EUKY_166","Candida orthopsilosis"
"EUKY_146","Vaucheria litorea"
"EUKY_150","Stigeoclonium helveticum"
"EUKY_33","Lubomirskia baicalensis"
"EUKY_119","Montastraea annularis"
"EUKY_61","Zasmidium cellare"
"EUKY_47","Plasmodium simium"
"EUKY_274","Phytophthora sojae"
"EUKY_152","Porphyra yezoensis"
"EUKY_140","Dictyostelium discoideum"
"EUKY_14","Micromonas sp."
"EUKY_169","Moniliophthora perniciosa"
"EUKY_271","Allomyces macrogynus"
"EUKY_190","Saccharomyces pastorianus"
"EUKY_220","Spizellomyces punctatus"
"EUKY_70","Friedmanniomyces simplex"
"EUKY_193","Arthroderma uncinatum"
"EUKY_115","Dictyota dichotoma"
"EUKY_211","Topsentia ophiraphidites"
"EUKY_168","Montipora cactus"
"EUKY_216","Tethya actinia"
"EUKY_143","Monomastix sp."
"EUKY_71","Falciformispora lignatilis"
"EUKY_104","Hyaloraphidium curvatum"
"EUKY_179","Ectocarpus siliculosus"
"EUKY_4","Phakopsora meibomiae"
"EUKY_318","Fusarium oxysporum"
"EUKY_32","Candida viswanathii"
"EUKY_97","Theileria annulata"
"EUKY_72","Endosporium populi-tremuloidis"
"EUKY_329","Dictyostelium fasciculatum"
"EUKY_278","Stylophora pistillata"
"EUKY_267","Monoblepharella sp."
"EUKY_136","Candida dubliniensis"
"EUKY_57","Paramecium tetraurelia"
"EUKY_124","Rhizophydium sp."
"EUKY_225","Zygosaccharomyces bisporus"
"EUKY_183","Saccharina diabolica"
"EUKY_230","Pleurotus ostreatus"
"EUKY_194","Trichophyton mentagrophytes"
"EUKY_118","Leishmania major"
"EUKY_109","Phaeodactylum tricornutum"
"EUKY_295","Rhodactis sp."
"EUKY_309","Leucocytozoon majoris"
"EUKY_276","Schizosaccharomyces octosporus"
"EUKY_273","Phaeosphaeria nodorum"
"EUKY_160","Candida parapsilosis"
"EUKY_159","Penicillium marneffei"
"EUKY_290","Mussa angulosa"
"EUKY_172","Phytophthora infestans"
"EUKY_82","Mytilinidion scolecosporum"
"EUKY_103","Chlamydomonas eugametos"
"EUKY_87","Ascocratera manglicola"
"EUKY_297","Helicosporidium sp."
"EUKY_116","Fucus vesiculosus"
"EUKY_78","Rhytidhysteron rufulum"
"EUKY_59","Phoma betae"
"EUKY_289","Nematostella sp."
"EUKY_215","Oscarella carmela"
"EUKY_112","Leishmania infantum"
"EUKY_95","Botryosphaeria dothidea"
"EUKY_255","Malawimonas jakobiformis"
"EUKY_240","Leucocytozoon sabrazesi"
"EUKY_213","Ephydatia muelleri"
"EUKY_187","Polytomella sp."
"EUKY_145","Pycnococcus provasolii"
"EUKY_63","Teratosphaeria fibrillosa"
"EUKY_300","Montastraea faveolata"
"EUKY_257","Gracilariopsis lemaneiformis"
"EUKY_182","Saccharina longipedalis"
"EUKY_319","Chondrus crispus"
"EUKY_302","Anacropora matthai"
"EUKY_36","Dunaliella salina"
"EUKY_306","Cyanophora paradoxa"
"EUKY_201","Igernella notabilis"
"EUKY_184","Saccharina ochotensis"
"EUKY_262","Neurospora crassa"
"EUKY_132","Cryptosporidium parvum"
"EUKY_120","Mortierella verticillata"
"EUKY_123","Pylaiella littoralis"
"EUKY_282","Pocillopora eydouxi"
"EUKY_275","Plasmodium gallinaceum"
"EUKY_177","Dendronephthya gigantea"
"EUKY_229","Cryphonectria parasitica"
"EUKY_191","Cyanidioschyzon merolae"
"EUKY_283","Pocillopora damicornis"
"EUKY_130","Acanthamoeba castellanii"
"EUKY_243","Tetrahymena pigmentosa"
"EUKY_238","Plasmodium mexicanum"
"EUKY_144","Pyramimonas parkeae"
"EUKY_314","Haemoproteus sp."
"EUKY_154","Porphyra purpurea"
"EUKY_316","Beauveria bassiana"
"EUKY_79","Oedohysterium sinense"
"EUKY_307","Metridium senile"
"EUKY_58","Dictyostelium citrinum"
"EUKY_239","Tilletia indica"
"EUKY_173","Chlamydomonas reinhardtii"
"EUKY_200","Plakortis angulospiculatus"
"EUKY_299","Discosoma sp."
"EUKY_117","Thalassiosira pseudonana"
"EUKY_304","Acropora tenuis"
"EUKY_332","Verticillium dahliae"
"EUKY_263","Zygosaccharomyces bailii"
"EUKY_221","Heterosigma akashiwo"
"EUKY_280","Seriatopora caliendrum"
"EUKY_125","Tetrahymena thermophila"
"EUKY_218","Axinella corrugata"
"EUKY_265","Hemiselmis andersenii"
"EUKY_151","Ostreococcus tauri"
"EUKY_305","Chlorella vulgaris"
"EUKY_16","Kluyveromyces lactis"
"EUKY_137","Babesia bovis"
"EUKY_298","Briareum asbestinum"
"EUKY_139","Theileria parva"
"EUKY_189","Aspergillus terreus"
"EUKY_122","Rhizopus oryzae"
"EUKY_249","Paracoccidioides brasiliensis"
"EUKY_23","Dekkera bruxellensis"
"EUKY_75","Chaetosphaeronema hispidulum"
"EUKY_204","Halisarca dujardini"
"EUKY_10","Encephalitozoon intestinalis"
"EUKY_66","Boeremia exigua"
"EUKY_245","Tetrahymena malaccensis"
"EUKY_133","Debaryomyces hansenii"
"EUKY_253","Thanatephorus cucumeris"
"EUKY_197","Leishmania tarentolae"
"EUKY_226","Lachancea waltii"
"EUKY_17","Ashbya gossypii"
"EUKY_51","Guillardia theta"
"EUKY_25","Eimeria tenella"
"EUKY_228","Blumeria graminis"
"EUKY_147","Oedogonium cardiacum"
"EUKY_232","Monosiga brevicollis"
"EUKY_2","Cryptomonas paramecium"
"EUKY_233","Candida neerlandica"
"EUKY_26","Toxoplasma gondii"
"EUKY_287","Porites porites"
"EUKY_331","Amphimedon queenslandica"
"EUKY_322","Candida zemplinina"
"EUKY_15","Candida glabrata"
"EUKY_313","Plasmodium relictum"
"EUKY_85","Lentithecium aquaticum"
"EUKY_174","Penicillium chrysogenum"
"EUKY_180","Saccharina coriacea"
"EUKY_321","Vanderwaltozyma polyspora"
"EUKY_68","Lindgomyces ingoldianus"
"EUKY_111","Bigelowiella natans"
"EUKY_88","Aigialus grandis"
"EUKY_107","Zygosaccharomyces rouxii"
"EUKY_326","Hydra magnipapillata"
"EUKY_212","Aplysina fulva"
"EUKY_311","Parahaemoproteus vireonis"
"EUKY_248","Metarhizium anisopliae"
"EUKY_65","Hysterobrevium mori"
"EUKY_129","Chrysodidymus synuroideus"
"EUKY_155","Odontella sinensis"
"EUKY_38","Aureococcus anophagefferens"
"EUKY_222","Nakaseomyces bacillisporus"
"EUKY_34","Synedra acus"
"EUKY_86","Hysterium barrianum"
"EUKY_94","Capnodium salicinum"
"EUKY_106","Kluyveromyces thermotolerans"
"EUKY_308","Leucocytozoon fringillinarum"
"EUKY_325","Blastocladiella emersonii"
"EUKY_100","Aspergillus fumigatus"
"EUKY_156","Euglena gracilis"
"EUKY_84","Leptosphaerulina australis"
"EUKY_315","Chaetomium globosum"
"EUKY_196","Trichophyton rubrum"
"EUKY_209","Iotrochota birotulata"
"EUKY_195","Glomus intraradices"
"EUKY_157","Hanseniaspora uvarum"
"EUKY_18","Alveolata sp."
"EUKY_320","Tilletia walkeri"
"EUKY_73","Dissoconium commune"
"EUKY_90","Spencermartinsia viticola"
"EUKY_294","Ricordea florida"
"EUKY_50","Microsporum canis"
"EUKY_227","Hypocrea lixii"
"EUKY_69","Gloniopsis arciformis"
"EUKY_108","Plasmodium knowlesi"
"EUKY_202","Hippospongia lachne"
"EUKY_76","Catinella olivacea"
"EUKY_49","Candida maltosa"
"EUKY_281","Seriatopora hystrix"
"EUKY_48","Saccharomyces cerevisiae"
"EUKY_284","Savalia savaglia"
"EUKY_8","Acanella eburnea"
"EUKY_114","Trypanosoma brucei"
"EUKY_236","Negombata magnifica"
"EUKY_167","Candida metapsilosis"
"EUKY_210","Callyspongia plicifera"
"EUKY_223","Candida castellii"
"EUKY_64","Quadricrura septentrionalis"
"EUKY_208","Chondrilla aff."
"EUKY_55","Oltmannsiellopsis viridis"
"EUKY_56","Emiliania huxleyi"
"EUKY_40","Yarrowia lipolytica"
"EUKY_231","Cyanidium caldarium"
"EUKY_44","Cordyceps brongniartii"
"EUKY_242","Ustilago maydis"
"EUKY_21","Paramecium aurelia"
"EUKY_11","Micromonas pusilla"
"EUKY_67","Lindgomyces breviappendiculatus"
"EUKY_277","Hypocrea jecorina"
"EUKY_171","Lecanicillium muscarium"
"EUKY_52","Magnaporthe oryzae"
"EUKY_165","Pichia farinosa"
"EUKY_288","Pavona clavus"
"EUKY_105","Pedinomonas minor"
"EUKY_135","Pichia pastoris"
"EUKY_164","Chattonella marina"
"EUKY_185","Saccharina religiosa"
"EUKY_101","Plasmodium reichenowi"
"EUKY_312","Plasmodium fragile"
"EUKY_102","Tetrahymena pyriformis"
"EUKY_234","Aphrocallistes vastus"
"EUKY_126","Ochromonas danica"
"EUKY_310","Haemoproteus columbae"
"EUKY_286","Siderastrea radians"
"EUKY_293","Agaricia humilis"
"EUKY_77","Astrosphaeriella aggregata"
"EUKY_254","Laminaria digitata"
"EUKY_205","Xestospongia muta"
"EUKY_19","Chromera velia"
"EUKY_237","Plasmodium floridense"
"EUKY_206","Ectyoplasia ferox"
"EUKY_217","Geodia neptuni"
"EUKY_251","Aspergillus tubingensis"
"EUKY_170","Pseudendoclonium akinetum"
"EUKY_269","Schizophyllum commune"
"EUKY_46","Plasmodium vivax"
"EUKY_134","Encephalitozoon cuniculi"
"EUKY_91","Guignardia bidwellii"
"EUKY_1","Pythium ultimum"
"EUKY_199","Vaceletia sp."
"EUKY_138","Candida albicans"
"EUKY_224","Nakaseomyces delphensis"
"EUKY_241","Aurelia aurita"
"EUKY_22","Plasmodium falciparum"
"EUKY_83","Lophiotrema brunneosporum"
"EUKY_131","Prototheca wickerhamii"
"EUKY_198","Cinachyrella kuekenthali"
"EUKY_6","Floydiella terrestris"
